aspiration,body-style,bore,city-mpg,compression-ratio,curb-weight,drive-wheels,engine-location,engine-size,engine-type,fuel-system,fuel-type,height,highway-mpg,horsepower,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,price,stroke,symboling,wheel-base,width
turbo,sedan,3.03,24,7.6,2191,fwd,front,98,ohc,mpfi,gas,50.6,30,102.0,157.3,dodge,148.0,four,,5500.0,8558.0,3.39,1,93.7,63.8
std,wagon,3.34,24,8.5,2535,fwd,front,122,ohc,2bbl,gas,59.8,30,88.0,174.6,dodge,110.0,four,four,5000.0,8921.0,3.46,-1,103.3,64.6
turbo,hatchback,3.6,19,7.0,2811,fwd,front,156,ohc,mfi,gas,50.2,24,145.0,173.2,dodge,145.0,four,two,5000.0,12964.0,3.9,3,95.9,66.3
std,hatchback,2.91,49,9.6,1713,fwd,front,92,ohc,1bbl,gas,50.8,54,58.0,144.6,honda,137.0,four,two,4800.0,6479.0,3.41,2,86.6,63.9
std,hatchback,2.91,31,9.2,1819,fwd,front,92,ohc,1bbl,gas,50.8,38,76.0,144.6,honda,137.0,four,two,6000.0,6855.0,3.41,2,86.6,63.9
std,hatchback,2.91,38,10.1,1837,fwd,front,79,ohc,1bbl,gas,52.6,42,60.0,150.0,honda,101.0,four,two,5500.0,5399.0,3.07,1,93.7,64.0
std,hatchback,2.91,30,9.2,1940,fwd,front,92,ohc,1bbl,gas,52.6,34,76.0,150.0,honda,101.0,four,two,6000.0,6529.0,3.41,1,93.7,64.0
std,hatchback,2.91,30,9.2,1956,fwd,front,92,ohc,1bbl,gas,52.6,34,76.0,150.0,honda,101.0,four,two,6000.0,7129.0,3.41,1,93.7,64.0
std,sedan,2.91,30,9.2,2010,fwd,front,92,ohc,1bbl,gas,54.5,34,76.0,163.4,honda,110.0,four,four,6000.0,7295.0,3.41,0,96.5,64.0
std,wagon,2.92,30,9.2,2024,fwd,front,92,ohc,1bbl,gas,58.3,34,76.0,157.1,honda,78.0,four,four,6000.0,7295.0,3.41,0,96.5,63.9
std,hatchback,3.15,27,9.0,2236,fwd,front,110,ohc,1bbl,gas,53.3,33,86.0,167.5,honda,106.0,four,two,5800.0,7895.0,3.58,0,96.5,65.2
std,hatchback,3.15,27,9.0,2289,fwd,front,110,ohc,1bbl,gas,53.3,33,86.0,167.5,honda,106.0,four,two,5800.0,9095.0,3.58,0,96.5,65.2
std,sedan,3.15,27,9.0,2304,fwd,front,110,ohc,1bbl,gas,54.1,33,86.0,175.4,honda,85.0,four,four,5800.0,8845.0,3.58,0,96.5,65.2
std,sedan,3.15,27,9.0,2372,fwd,front,110,ohc,1bbl,gas,54.1,33,86.0,175.4,honda,85.0,four,four,5800.0,10295.0,3.58,0,96.5,62.5
std,sedan,3.15,24,9.0,2465,fwd,front,110,ohc,mpfi,gas,54.1,28,101.0,175.4,honda,85.0,four,four,5800.0,12945.0,3.58,0,96.5,65.2
std,sedan,3.15,25,9.1,2293,fwd,front,110,ohc,2bbl,gas,51.0,31,100.0,169.1,honda,107.0,four,two,5500.0,10345.0,3.58,1,96.5,66.0
std,sedan,3.31,24,8.5,2337,rwd,front,111,ohc,2bbl,gas,53.5,29,78.0,170.7,isuzu,,four,four,4800.0,6785.0,3.23,0,94.3,61.8
std,sedan,3.03,38,9.6,1874,fwd,front,90,ohc,2bbl,gas,52.0,43,70.0,155.9,isuzu,,four,two,5400.0,,3.11,1,94.5,63.6
std,sedan,3.03,38,9.6,1909,fwd,front,90,ohc,2bbl,gas,52.0,43,70.0,155.9,isuzu,,four,four,5400.0,,3.11,0,94.5,63.6
std,hatchback,3.43,24,9.2,2734,rwd,front,119,ohc,spfi,gas,51.4,29,90.0,172.6,isuzu,,four,two,5000.0,11048.0,3.23,2,96.0,65.2
std,sedan,3.63,15,8.1,4066,rwd,front,258,dohc,mpfi,gas,52.8,19,176.0,199.6,jaguar,145.0,six,four,4750.0,32250.0,4.17,0,113.0,69.6
std,sedan,3.63,15,8.1,4066,rwd,front,258,dohc,mpfi,gas,52.8,19,176.0,199.6,jaguar,,six,four,4750.0,35550.0,4.17,0,113.0,69.6
std,sedan,3.54,13,11.5,3950,rwd,front,326,ohcv,mpfi,gas,47.8,17,262.0,191.7,jaguar,,twelve,two,5000.0,36000.0,2.76,0,102.0,70.6
std,hatchback,3.03,30,9.0,1890,fwd,front,91,ohc,2bbl,gas,54.1,31,68.0,159.1,mazda,104.0,four,two,5000.0,5195.0,3.15,1,93.1,64.2
std,hatchback,3.03,31,9.0,1900,fwd,front,91,ohc,2bbl,gas,54.1,38,68.0,159.1,mazda,104.0,four,two,5000.0,6095.0,3.15,1,93.1,64.2
std,hatchback,3.03,31,9.0,1905,fwd,front,91,ohc,2bbl,gas,54.1,38,68.0,159.1,mazda,104.0,four,two,5000.0,6795.0,3.15,1,93.1,64.2
std,sedan,3.03,31,9.0,1945,fwd,front,91,ohc,2bbl,gas,54.1,38,68.0,166.8,mazda,113.0,four,four,5000.0,6695.0,3.15,1,93.1,64.2
std,sedan,3.08,31,9.0,1950,fwd,front,91,ohc,2bbl,gas,54.1,38,68.0,166.8,mazda,113.0,four,four,5000.0,7395.0,3.15,1,93.1,64.2
std,hatchback,,17,9.4,2380,rwd,front,70,rotor,4bbl,gas,49.6,23,101.0,169.0,mazda,150.0,two,two,6000.0,10945.0,,3,95.3,65.7
std,hatchback,,17,9.4,2380,rwd,front,70,rotor,4bbl,gas,49.6,23,101.0,169.0,mazda,150.0,two,two,6000.0,11845.0,,3,95.3,65.7
std,hatchback,,17,9.4,2385,rwd,front,70,rotor,4bbl,gas,49.6,23,101.0,169.0,mazda,150.0,two,two,6000.0,13645.0,,3,95.3,65.7
std,hatchback,,16,9.4,2500,rwd,front,80,rotor,mpfi,gas,49.6,23,135.0,169.0,mazda,150.0,two,two,6000.0,15645.0,,3,95.3,65.7
std,hatchback,3.39,26,8.6,2385,fwd,front,122,ohc,2bbl,gas,53.7,32,84.0,177.8,mazda,129.0,four,two,4800.0,8845.0,3.39,1,98.8,66.5
std,sedan,3.39,26,8.6,2410,fwd,front,122,ohc,2bbl,gas,55.5,32,84.0,177.8,mazda,115.0,four,four,4800.0,8495.0,3.39,0,98.8,66.5
std,hatchback,3.39,26,8.6,2385,fwd,front,122,ohc,2bbl,gas,53.7,32,84.0,177.8,mazda,129.0,four,two,4800.0,10595.0,3.39,1,98.8,66.5
std,sedan,3.39,26,8.6,2410,fwd,front,122,ohc,2bbl,gas,55.5,32,84.0,177.8,mazda,115.0,four,four,4800.0,10245.0,3.39,0,98.8,66.5
std,sedan,3.39,36,22.7,2443,fwd,front,122,ohc,idi,diesel,55.5,42,64.0,177.8,mazda,,four,,4650.0,10795.0,3.39,0,98.8,66.5
std,hatchback,3.39,26,8.6,2425,fwd,front,122,ohc,2bbl,gas,55.5,32,84.0,177.8,mazda,115.0,four,four,4800.0,11245.0,3.39,0,98.8,66.5
std,sedan,3.76,19,8.0,2670,rwd,front,140,ohc,mpfi,gas,54.4,27,120.0,175.0,mazda,118.0,four,four,5000.0,18280.0,3.16,0,104.9,66.1
std,sedan,3.43,31,22.0,2700,rwd,front,134,ohc,idi,diesel,54.4,39,72.0,175.0,mazda,,four,four,4200.0,18344.0,3.64,0,104.9,66.1
turbo,sedan,3.58,22,21.5,3515,rwd,front,183,ohc,idi,diesel,56.5,25,123.0,190.9,mercedes-benz,93.0,five,four,4350.0,25552.0,3.64,-1,110.0,70.3
turbo,wagon,3.58,22,21.5,3750,rwd,front,183,ohc,idi,diesel,58.7,25,123.0,190.9,mercedes-benz,93.0,five,four,4350.0,28248.0,3.64,-1,110.0,70.3
turbo,hardtop,3.58,22,21.5,3495,rwd,front,183,ohc,idi,diesel,54.9,25,123.0,187.5,mercedes-benz,93.0,five,two,4350.0,28176.0,3.64,0,106.7,70.3
turbo,sedan,3.58,22,21.5,3770,rwd,front,183,ohc,idi,diesel,56.3,25,123.0,202.6,mercedes-benz,93.0,five,four,4350.0,31600.0,3.64,-1,115.6,71.7
std,sedan,3.46,16,8.3,3740,rwd,front,234,ohcv,mpfi,gas,56.5,18,155.0,202.6,mercedes-benz,,eight,four,4750.0,34184.0,3.1,-1,115.6,71.7
std,convertible,3.46,16,8.3,3685,rwd,front,234,ohcv,mpfi,gas,50.8,18,155.0,180.3,mercedes-benz,142.0,eight,two,4750.0,35056.0,3.1,3,96.6,70.5
std,sedan,3.8,14,8.0,3900,rwd,front,308,ohcv,mpfi,gas,56.7,16,184.0,208.1,mercedes-benz,,eight,four,4500.0,40960.0,3.35,0,120.9,71.7
std,hardtop,3.8,14,8.0,3715,rwd,front,304,ohcv,mpfi,gas,55.4,16,184.0,199.2,mercedes-benz,,eight,two,4500.0,45400.0,3.35,1,112.0,72.0
turbo,hatchback,3.7800000000000002,19,8.0,2910,rwd,front,140,ohc,mpfi,gas,54.8,24,175.0,178.4,mercury,,four,two,5000.0,16503.0,3.12,1,102.7,68.0
std,hatchback,2.9699999999999998,37,9.4,1918,fwd,front,92,ohc,2bbl,gas,50.8,41,68.0,157.3,mitsubishi,161.0,four,two,5500.0,5389.0,3.23,2,93.7,64.4
std,hatchback,2.9699999999999998,31,9.4,1944,fwd,front,92,ohc,2bbl,gas,50.8,38,68.0,157.3,mitsubishi,161.0,four,two,5500.0,6189.0,3.23,2,93.7,64.4
std,hatchback,2.9699999999999998,31,9.4,2004,fwd,front,92,ohc,2bbl,gas,50.8,38,68.0,157.3,mitsubishi,161.0,four,two,5500.0,6669.0,3.23,2,93.7,64.4
turbo,hatchback,3.03,24,7.6,2145,fwd,front,98,ohc,spdi,gas,50.8,30,102.0,157.3,mitsubishi,161.0,four,two,5500.0,7689.0,3.39,1,93.0,63.8
turbo,hatchback,3.17,23,7.5,2370,fwd,front,110,ohc,spdi,gas,49.4,30,116.0,173.0,mitsubishi,153.0,four,two,5500.0,9959.0,3.46,3,96.3,65.4
std,hatchback,3.35,25,8.5,2328,fwd,front,122,ohc,2bbl,gas,49.4,32,88.0,173.0,mitsubishi,153.0,four,two,5000.0,8499.0,3.46,3,96.3,65.4
turbo,hatchback,3.58,19,7.0,2833,fwd,front,156,ohc,spdi,gas,50.2,24,145.0,173.2,mitsubishi,,four,two,5000.0,12629.0,3.86,3,95.9,66.3
turbo,hatchback,3.59,19,7.0,2921,fwd,front,156,ohc,spdi,gas,50.2,24,145.0,173.2,mitsubishi,,four,two,5000.0,14869.0,3.86,3,95.9,66.3
turbo,hatchback,3.59,19,7.0,2926,fwd,front,156,ohc,spdi,gas,50.2,24,145.0,173.2,mitsubishi,,four,two,5000.0,14489.0,3.86,3,95.9,66.3
std,sedan,3.35,25,8.5,2365,fwd,front,122,ohc,2bbl,gas,51.6,32,88.0,172.4,mitsubishi,125.0,four,four,5000.0,6989.0,3.46,1,96.3,65.4
std,sedan,3.35,25,8.5,2405,fwd,front,122,ohc,2bbl,gas,51.6,32,88.0,172.4,mitsubishi,125.0,four,four,5000.0,8189.0,3.46,1,96.3,65.4
turbo,sedan,3.17,23,7.5,2403,fwd,front,110,ohc,spdi,gas,51.6,30,116.0,172.4,mitsubishi,125.0,four,four,5500.0,9279.0,3.46,1,96.3,65.4
std,sedan,3.17,23,7.5,2403,fwd,front,110,ohc,spdi,gas,51.6,30,116.0,172.4,mitsubishi,137.0,four,four,5500.0,9279.0,3.46,-1,96.3,65.4
std,sedan,3.15,31,9.4,1889,fwd,front,97,ohc,2bbl,gas,54.5,37,69.0,165.3,nissan,128.0,four,two,5200.0,5499.0,3.29,1,94.5,63.8
std,sedan,2.99,45,21.9,2017,fwd,front,103,ohc,idi,diesel,54.5,50,55.0,165.3,nissan,128.0,four,two,4800.0,7099.0,3.47,1,94.5,63.8
std,sedan,3.15,31,9.4,1918,fwd,front,97,ohc,2bbl,gas,54.5,37,69.0,165.3,nissan,128.0,four,two,5200.0,6649.0,3.29,1,94.5,63.8
std,sedan,3.15,31,9.4,1938,fwd,front,97,ohc,2bbl,gas,54.5,37,69.0,165.3,nissan,122.0,four,four,5200.0,6849.0,3.29,1,94.5,63.8
std,wagon,3.15,31,9.4,2024,fwd,front,97,ohc,2bbl,gas,53.5,37,69.0,170.2,nissan,103.0,four,four,5200.0,7349.0,3.29,1,94.5,63.8
std,sedan,3.15,31,9.4,1951,fwd,front,97,ohc,2bbl,gas,54.5,37,69.0,165.3,nissan,128.0,four,two,5200.0,7299.0,3.29,1,94.5,63.8
std,hatchback,3.15,31,9.4,2028,fwd,front,97,ohc,2bbl,gas,53.3,37,69.0,165.6,nissan,128.0,four,two,5200.0,7799.0,3.29,1,94.5,63.8
std,sedan,3.15,31,9.4,1971,fwd,front,97,ohc,2bbl,gas,54.5,37,69.0,165.3,nissan,122.0,four,four,5200.0,7499.0,3.29,1,94.5,63.8
std,wagon,3.15,31,9.4,2037,fwd,front,97,ohc,2bbl,gas,53.5,37,69.0,170.2,nissan,103.0,four,four,5200.0,7999.0,3.29,1,94.5,63.8
std,hardtop,3.15,31,9.4,2008,fwd,front,97,ohc,2bbl,gas,53.3,37,69.0,162.4,nissan,168.0,four,two,5200.0,8249.0,3.29,2,95.1,63.8
std,hatchback,3.33,27,8.5,2324,fwd,front,120,ohc,2bbl,gas,54.7,34,97.0,173.4,nissan,106.0,four,four,5200.0,8949.0,3.47,0,97.2,65.2
std,sedan,3.33,27,8.5,2302,fwd,front,120,ohc,2bbl,gas,54.7,34,97.0,173.4,nissan,106.0,four,four,5200.0,9549.0,3.47,0,97.2,65.2
std,sedan,3.43,17,9.0,3095,fwd,front,181,ohcv,mpfi,gas,55.1,22,152.0,181.7,nissan,128.0,six,four,5200.0,13499.0,3.27,0,100.4,66.5
std,wagon,3.43,17,9.0,3296,fwd,front,181,ohcv,mpfi,gas,56.1,22,152.0,184.6,nissan,108.0,six,four,5200.0,14399.0,3.27,0,100.4,66.5
std,sedan,3.43,19,9.0,3060,fwd,front,181,ohcv,mpfi,gas,55.1,25,152.0,184.6,nissan,108.0,six,four,5200.0,13499.0,3.27,0,100.4,66.5
std,hatchback,3.43,19,9.0,3071,rwd,front,181,ohcv,mpfi,gas,49.7,25,160.0,170.7,nissan,194.0,six,two,5200.0,17199.0,3.27,3,91.3,67.9
turbo,hatchback,3.43,17,7.8,3139,rwd,front,181,ohcv,mpfi,gas,49.7,23,200.0,170.7,nissan,194.0,six,two,5200.0,19699.0,3.27,3,91.3,67.9
std,hatchback,3.43,19,9.0,3139,rwd,front,181,ohcv,mpfi,gas,49.7,25,160.0,178.5,nissan,231.0,six,two,5200.0,18399.0,3.27,1,99.2,67.9
std,sedan,3.46,19,8.4,3020,rwd,front,120,l,mpfi,gas,56.7,24,97.0,186.7,peugot,161.0,four,four,5000.0,11900.0,3.19,0,107.9,68.4
turbo,sedan,3.7,28,21.0,3197,rwd,front,152,l,idi,diesel,56.7,33,95.0,186.7,peugot,161.0,four,four,4150.0,13200.0,3.52,0,107.9,68.4
std,wagon,3.46,19,8.4,3230,rwd,front,120,l,mpfi,gas,58.7,24,97.0,198.9,peugot,,four,four,5000.0,12440.0,3.19,0,114.2,68.4
turbo,wagon,3.7,25,21.0,3430,rwd,front,152,l,idi,diesel,58.7,25,95.0,198.9,peugot,,four,four,4150.0,13860.0,3.52,0,114.2,68.4
std,sedan,3.46,19,8.4,3075,rwd,front,120,l,mpfi,gas,56.7,24,95.0,186.7,peugot,161.0,four,four,5000.0,15580.0,2.19,0,107.9,68.4
turbo,sedan,3.7,28,21.0,3252,rwd,front,152,l,idi,diesel,56.7,33,95.0,186.7,peugot,161.0,four,four,4150.0,16900.0,3.52,0,107.9,68.4
std,wagon,3.46,19,8.4,3285,rwd,front,120,l,mpfi,gas,56.7,24,95.0,198.9,peugot,,four,four,5000.0,16695.0,2.19,0,114.2,68.4
turbo,wagon,3.7,25,21.0,3485,rwd,front,152,l,idi,diesel,58.7,25,95.0,198.9,peugot,,four,four,4150.0,17075.0,3.52,0,114.2,68.4
std,sedan,3.46,19,8.4,3075,rwd,front,120,l,mpfi,gas,56.7,24,97.0,186.7,peugot,161.0,four,four,5000.0,16630.0,3.19,0,107.9,68.4
turbo,sedan,3.7,28,21.0,3252,rwd,front,152,l,idi,diesel,56.7,33,95.0,186.7,peugot,161.0,four,four,4150.0,17950.0,3.52,0,107.9,68.4
turbo,sedan,3.61,18,7.0,3130,rwd,front,134,l,mpfi,gas,56.0,24,142.0,186.7,peugot,161.0,four,four,5600.0,18150.0,3.21,0,108.0,68.3
std,hatchback,2.9699999999999998,37,9.4,1918,fwd,front,90,ohc,2bbl,gas,50.8,41,68.0,157.3,plymouth,119.0,four,two,5500.0,5572.0,3.23,1,93.7,63.8
turbo,hatchback,3.03,24,7.6,2128,fwd,front,98,ohc,spdi,gas,50.8,30,102.0,157.3,plymouth,119.0,four,two,5500.0,7957.0,3.39,1,93.7,63.8
std,hatchback,2.9699999999999998,31,9.4,1967,fwd,front,90,ohc,2bbl,gas,50.6,38,68.0,157.3,plymouth,154.0,four,four,5500.0,6229.0,3.23,1,93.7,63.8
std,sedan,2.9699999999999998,31,9.4,1989,fwd,front,90,ohc,2bbl,gas,50.8,38,68.0,167.3,plymouth,154.0,four,four,5500.0,6692.0,3.23,1,93.7,63.8
std,sedan,2.9699999999999998,31,9.4,2191,fwd,front,98,ohc,2bbl,gas,50.8,38,68.0,167.3,plymouth,154.0,four,four,5500.0,7609.0,3.23,1,93.7,63.8
std,wagon,3.35,24,8.5,2535,fwd,front,122,ohc,2bbl,gas,59.8,30,88.0,174.6,plymouth,74.0,four,four,5000.0,8921.0,3.46,-1,103.3,64.6
turbo,hatchback,3.59,19,7.0,2818,rwd,front,156,ohc,spdi,gas,50.2,24,145.0,173.2,plymouth,,four,two,5000.0,12764.0,3.86,3,95.9,66.3
std,hatchback,3.94,19,9.5,2778,rwd,front,151,ohc,mpfi,gas,50.2,27,143.0,168.9,porsche,186.0,four,two,5500.0,22018.0,3.11,3,94.5,68.3
std,hardtop,3.74,17,9.5,2756,rwd,rear,194,ohcf,mpfi,gas,51.6,25,207.0,168.9,porsche,,six,two,5900.0,32528.0,2.9,3,89.5,65.0
std,hardtop,3.74,17,9.5,2756,rwd,rear,194,ohcf,mpfi,gas,51.6,25,207.0,168.9,porsche,,six,two,5900.0,34028.0,2.9,3,89.5,65.0
std,convertible,3.74,17,9.5,2800,rwd,rear,194,ohcf,mpfi,gas,51.6,25,207.0,168.9,porsche,,six,two,5900.0,37028.0,2.9,3,89.5,65.0
std,hatchback,3.94,17,10.0,3366,rwd,front,203,dohcv,mpfi,gas,50.5,28,288.0,175.7,porsche,,eight,two,5750.0,,3.11,1,98.4,72.3
std,wagon,3.46,23,8.7,2579,fwd,front,132,ohc,mpfi,gas,55.2,31,,181.5,renault,,four,four,,9295.0,3.9,0,96.1,66.5
std,hatchback,3.46,23,8.7,2460,fwd,front,132,ohc,mpfi,gas,50.5,31,,176.8,renault,,four,two,,9895.0,3.9,2,96.1,66.6
std,hatchback,3.54,21,9.31,2658,fwd,front,121,ohc,mpfi,gas,56.1,28,110.0,186.6,saab,150.0,four,two,5250.0,11850.0,3.07,3,99.1,66.5
std,sedan,3.54,21,9.3,2695,fwd,front,121,ohc,mpfi,gas,56.1,28,110.0,186.6,saab,104.0,four,four,5250.0,12170.0,3.07,2,99.1,66.5
std,hatchback,2.54,21,9.3,2707,fwd,front,121,ohc,mpfi,gas,56.1,28,110.0,186.6,saab,150.0,four,two,5250.0,15040.0,2.07,3,99.1,66.5
std,sedan,3.54,21,9.3,2758,fwd,front,121,ohc,mpfi,gas,56.1,28,110.0,186.6,saab,104.0,four,four,5250.0,15510.0,3.07,2,99.1,66.5
turbo,hatchback,3.54,19,9.0,2808,fwd,front,121,dohc,mpfi,gas,56.1,26,160.0,186.6,saab,150.0,four,two,5500.0,18150.0,3.07,3,99.1,66.5
turbo,sedan,3.54,19,9.0,2847,fwd,front,121,dohc,mpfi,gas,56.1,26,160.0,186.6,saab,104.0,four,four,5500.0,18620.0,3.07,2,99.1,66.5
std,hatchback,3.62,31,9.0,2050,fwd,front,97,ohcf,2bbl,gas,53.7,36,69.0,156.9,subaru,83.0,four,two,4900.0,5118.0,2.36,2,93.7,63.4
std,hatchback,3.62,26,8.7,2120,fwd,front,108,ohcf,2bbl,gas,53.7,31,73.0,157.9,subaru,83.0,four,two,4400.0,7053.0,2.64,2,93.7,63.6
std,hatchback,3.62,26,8.7,2240,4wd,front,108,ohcf,2bbl,gas,55.7,31,73.0,157.3,subaru,83.0,four,two,4400.0,7603.0,2.64,2,93.3,63.8
std,sedan,3.62,32,9.5,2145,fwd,front,108,ohcf,2bbl,gas,52.5,37,82.0,172.0,subaru,102.0,four,four,4800.0,7126.0,2.64,0,97.2,65.4
std,sedan,3.62,28,9.5,2190,fwd,front,108,ohcf,2bbl,gas,52.5,33,82.0,172.0,subaru,102.0,four,four,4400.0,7775.0,2.64,0,97.2,65.4
std,sedan,3.62,26,9.0,2340,fwd,front,108,ohcf,mpfi,gas,52.5,32,94.0,172.0,subaru,102.0,four,four,5200.0,9960.0,2.64,0,97.2,65.4
std,sedan,3.62,24,9.0,2385,4wd,front,108,ohcf,2bbl,gas,54.3,25,82.0,172.0,subaru,102.0,four,four,4800.0,9233.0,2.64,0,97.0,65.4
turbo,sedan,3.62,24,7.7,2510,4wd,front,108,ohcf,mpfi,gas,54.3,29,111.0,172.0,subaru,102.0,four,four,4800.0,11259.0,2.64,0,97.0,65.4
std,wagon,3.62,28,9.0,2290,fwd,front,108,ohcf,2bbl,gas,53.0,32,82.0,173.5,subaru,89.0,four,four,4800.0,7463.0,2.64,0,97.0,65.4
std,wagon,3.62,25,9.0,2455,fwd,front,108,ohcf,mpfi,gas,53.0,31,94.0,173.5,subaru,89.0,four,four,5200.0,10198.0,2.64,0,97.0,65.4
std,wagon,3.62,23,9.0,2420,4wd,front,108,ohcf,2bbl,gas,54.9,29,82.0,173.6,subaru,85.0,four,four,4800.0,8013.0,2.64,0,96.9,65.4
turbo,wagon,3.62,23,7.7,2650,4wd,front,108,ohcf,mpfi,gas,54.9,23,111.0,173.6,subaru,85.0,four,four,4800.0,11694.0,2.64,0,96.9,65.4
std,hatchback,3.05,35,9.0,1985,fwd,front,92,ohc,2bbl,gas,54.5,39,62.0,158.7,toyota,87.0,four,two,4800.0,5348.0,3.03,1,95.7,63.6
std,hatchback,3.05,31,9.0,2040,fwd,front,92,ohc,2bbl,gas,54.5,38,62.0,158.7,toyota,87.0,four,two,4800.0,6338.0,3.03,1,95.7,63.6
std,hatchback,3.05,31,9.0,2015,fwd,front,92,ohc,2bbl,gas,54.5,38,62.0,158.7,toyota,74.0,four,four,4800.0,6488.0,3.03,1,95.7,63.6
